"BL1-A","BL1-H","BL1-W"
50900,21923,103
48387,22495,101
46320,21611,96
52349,23728,101
52860,23156,103
54003,23811,103
60717,25631,110
48398,22136,102
49489,22621,101
52715,23754,98
46433,21131,97
50046,22650,102
52807,24227,103
52024,22229,103
55687,23882,106
52417,22132,100
47329,21205,97
47783,21743,99
54568,23582,102
47280,21306,100
54385,24487,104
47214,21535,101
52403,23506,100
46733,21767,98
67667,28850,108
50267,22850,101
56729,24610,106
51339,21956,103
56437,24794,106
48726,22362,101
59255,25479,108
57415,25154,108
48816,22499,100
55421,23587,99
54210,23352,106
50868,23572,101
89274,22251,179
52803,23124,101
48447,22363,101
762447,331002,118
801123,359595,119
44115,19744,94
48195,21846,102
48977,22389,99
49978,22302,99
60729,26095,107
48143,21503,102
51479,23691,100
50034,21943,102
50794,23411,101
48485,23127,99
49565,22974,101
51441,23331,102
47940,22707,99
47741,22059,101
45711,21605,93
51746,23893,102
50224,23260,100
61895,25983,108
48745,21190,96
47853,22167,98
57537,24206,105
49257,22628,101
54660,23215,101
49391,21543,101
51389,23680,99
48386,21578,101
46824,21156,99
57577,24959,107
47205,22136,94
50539,22285,102
50219,22675,101
57172,24131,109
49445,22142,104
46480,21030,94
48483,21972,100
49234,22520,101
810557,359055,120
57151,23832,106
50476,21353,101
63755,26597,110
48729,22337,102
48889,22124,102
48785,22332,99
49721,22624,99
64796,27529,109
49468,23633,100
52621,22299,103
45353,20598,95
50223,23168,100
48861,21868,103
45421,20726,97
50054,22758,101
49072,22193,101
48813,21738,100
50116,22527,101
63044,25602,112
52073,23651,104
50663,23041,99
52426,24323,100
57415,25233,106
51458,21509,104
57756,23837,104
48711,22022,98
47651,21261,97
54112,23467,104
47602,21201,99
58051,25281,107
52068,23305,104
47687,21575,99
47612,21777,100
53063,24013,102
57272,25244,106
46601,21504,102
52178,22740,100
50308,22897,101
49036,21794,100
47606,22165,94
51782,24485,98
51386,23041,103
49532,22813,99
48685,21037,97
49018,21538,98
47431,22194,95
47739,22562,96
51197,24383,96
49865,22658,101
52526,23954,103
54885,23207,104
60414,25842,107
46690,21998,94
47270,21767,96
49524,22394,102
55722,24544,103
48133,22134,99
48874,23068,98
48091,21536,99
43867,20385,92
49276,22144,100
56645,25090,104
58779,25066,109
49314,22336,102
57638,24701,108
49762,22389,100
49178,22307,100
57479,24351,107
48474,21977,101
47101,21728,100
48313,21615,98
43765,19253,99
50192,22275,101
45179,19611,100
48662,22057,100
47086,21013,102
51868,23004,104
50712,23283,99
49246,22221,101
50834,22835,100
47954,21743,99
50174,21985,102
52796,24128,102
53152,24594,100
59967,25929,103
45768,21228,97
54441,24573,103
49366,22813,98
53375,22709,97
62052,26326,109
54786,24322,105
43863,20494,96
51767,23782,101
60387,26075,107
43737,20410,93
42046,19973,92
50074,23522,102
48343,22358,98
46812,21182,100
48127,22702,95
59776,26090,107
49014,21479,102
45999,20275,101
60451,26560,107
47331,21119,97
43126,20082,95
49611,22717,103
54037,24382,104
50812,23211,102
52749,24916,101
53081,22186,104
46574,21795,102
46098,21198,98
47036,22050,99
48357,22213,95
49610,22177,100
50298,23023,101
46748,21397,96
51076,23229,101
54172,23784,103
47336,21580,100
51948,23388,102
46717,20813,100
53481,23349,103
47009,21336,102
56065,24152,103
57719,24855,107
58059,24211,109
48325,21700,100
49680,23043,97
47372,21838,99
45330,20963,99
51349,23047,103
51731,22322,100
50451,23241,101
49113,23077,99
47392,21531,101
59299,25445,108
50746,23305,100
51458,22641,102
56832,24776,106
49144,22607,102
49351,23085,98
47703,21944,96
52272,24237,102
58192,25754,105
51037,23392,100
51587,23403,101
49755,22884,100
47248,21531,99
49744,23205,101
51160,24050,98
49597,22928,102
50867,22905,97
48366,22280,100
52574,24066,101
47781,21433,100
47282,21650,99
51355,23832,102
54192,24100,97
50218,23919,96
46189,21468,94
53964,22747,105
52841,22830,100
46010,20955,100
50280,23050,104
50904,23127,103
52338,24490,99
49948,22279,103
50932,23366,101
56381,25282,106
53821,22705,97
51072,23207,100
55182,23539,105
53679,23413,101
50103,23483,96
49809,21899,101
48225,21814,99
48460,22407,94
49140,22680,99
49061,22831,98
62650,27072,109
50905,23132,100
51222,23075,102
51103,23588,100
49293,22607,100
46343,20698,94
