"488nm525-40-A","488nm525-40-H"
135762,129714
128262,130484
152038,150850
93676,94509
138816,137675
128495,128423
170754,173338
138902,138773
137275,132384
166015,158537
112259,111712
152916,154382
126657,100296
31670.9,31877.7
101941,99045.7
282741,278516
95972.6,95722.2
140769,139653
163624,161762
103638,103835
78826,79100.9
127051,120048
198941,194975
128860,128020
367054,367326
135990,134549
165258,166969
215950,211471
92721.3,91159.1
190357,169399
65559.3,65437.9
121054,122768
305620,293968
140967,141945
127393,125753
122601,124857
141629,141953
361733,361550
246393,251130
168549,163571
246463,244116
135171,132369
70408.7,62019
116995,109896
189595,185417
146879,141916
181733,171726
605253,607524
160155,154548
113544,115125
115812,113641
353786,339455
139896,140686
149035,150972
209629,203474
136517,136230
93721.2,93638.4
324417,127917
72889.6,75893.7
227128,210194
184355,185921
149028,153217
99856.4,102992
87026.7,86815.5
120936,121184
166123,166478
186340,180116
125990,124189
232075,221679
469799,455908
44605.3,44856.6
431352,438085
184387,138170
99185.5,95663.5
369191,368387
218537,216790
123342,122714
78362.3,77015.7
159904,152178
645419,630702
119160,113440
160634,163966
222219,217557
137634,135686
238598,230743
176228,175253
144155,142009
84753.3,83896.9
258653,249399
166896,166645
125964,123506
164925,155706
131311,125688
294025,303113
182225,185188
118047,117906
127092,129485
279604,281404
127409,130124
148401,142502
229188,122627
111396,110533
308547,304379
119693,119022
192686,193408
701873,685444
89478.7,86091
169029,167742
129942,129768
239355,238234
193430,171457
540296,210380
229657,225593
185199,183943
173362,170342
165419,165951
114597,114240
230978,232282
101985,102646
66448.7,67053.4
138807,135607
97427.7,97551.9
185876,179961
173272,172140
203182,195429
79514.1,79897.8
450373,233216
107785,108418
367945,370684
126868,126977
221004,210605
103489,105648
219549,210058
196523,194728
96618.9,94696.5
111477,108775
79822.6,80407.2
286383,264068
135987,134236
180828,165146
115039,116758
132462,129302
187983,188546
382526,383411
194837,195378
178525,174660
156985,157445
184282,186545
122016,114473
105007,104043
130546,127605
346775,353354
157416,157349
210861,205576
129337,131146
135119,128118
112881,110307
166931,164320
92601.1,93114
132732,128978
36556.2,35034.2
173995,165498
122838,122957
358033,341882
66707.9,49696.7
191412,191364
89652.9,89371.5
156705,152672
192645,187316
156605,156388
199299,169095
245960,168472
189966,194264
66703.6,67621.6
190342,186125
121098,119959
88383.5,85292.9
115146,114402
297133,232770
116902,116739
138354,138931
67224.8,68258.2
161685,157234
86993.8,86263.6
217122,208957
145208,147244
165872,159183
199899,191589
105543,104112
117634,120546
144906,138772
164235,161737
191896,190950
174399,161088
205816,208266
197341,190958
109867,107502
125245,116741
86132.1,89314.2
145267,145601
145149,145524
101555,101669
97088.6,96136.2
132419,132454
109939,108637
137812,138414
167469,141478
174626,175752
96913.7,93853.3
105646,103786
620657,616562
81961.4,81346.1
700829,532886
132061,127238
196000,193584
241588,237999
126171,129415
343856,330030
189355,179732
131684,129849
