"488nm525-40-A","488nm525-40-H"
2245.5,2368.2
1985.8,2083.5
7189.7,7145.2
1198.8,1816.3
72081.1,72232.3
2453.2,2750
3726.5,3801.7
2623.6,2838.2
9284,9681.2
6313.6,6635.2
2903.2,3132.4
2200.5,2252
1219.7,1436
105686,101923
26011.7,26715.6
3182.3,3058.3
3740.4,4215.2
898.8,1004.9
1260.3,2003.6
1093.1,1474.3
2819.6,2650.6
6153.6,6489.3
82.7,564.4
913.6,1415.4
2166.2,2691.8
4937.9,4561.4
1495.2,1333.8
1547.9,2182.2
15830,13706.3
2752.7,2931.9
2777,3043.7
1182.6,1509.9
621.5,878.1
726.6,1263.1
4686.6,5012.1
1054.2,994.5
1881,1535.6
1512.1,1798.4
2891.2,3014.1
5844.8,5750.5
2294.5,2429.9
605.7,1143.9
13405.7,14146.1
3793.3,3737.2
3110.3,3583.4
6373.4,6985
862.9,685
1310.6,1217.7
9720.1,9384
1542.2,2045.6
1727.4,2342.3
1906.2,1389.3
1155,1345.4
1896.7,2305.7
10218.7,9478.3
903.2,1532.4
2042.1,2274.8
3015.8,2815.1
8191.6,8048.4
1112.1,1274.7
42922.9,41992.2
579.9,744.4
924,1017.4
11206.1,10799
2404.8,2613.9
836.9,800.2
2070,1812.8
3965.3,4097.2
5637.5,5750.8
14662.2,14871.3
1080,1382.6
12461.4,12290.2
855.6,1292.3
1557.3,1859.1
4233.6,3284.2
1080.9,1209
1484.9,1532.5
382.6,850.4
4835.3,4899.8
652.3,891.4
1472.4,1362.3
5503.1,4220.9
4041.5,3824.3
1841.5,2374.3
2307,2670.9
1584.8,1652.8
19701.6,20208.2
925.4,1124.9
172.9,763.9
3786.3,3821.8
3627.4,3852.1
12816.8,12617.8
1279.7,1542.1
31620.3,31260.5
144.5,923.5
2482,2298
352.5,658.8
3934.6,4481.4
2951.3,3310.9
1788.4,1806.5
1565.8,1542.4
1409.7,1520.2
454.3,838.5
4913.3,4691.2
2198.8,2769.5
4216.4,4147.1
4850.6,5157.3
4299.2,4187.9
809.2,852.3
2237.1,2459.6
9581.5,9559.4
7566.5,7775.2
3893.7,4012.6
433.4,654.5
1035.2,1328.1
318.9,622.5
780.7,784.9
1151.9,825.7
1081,1784.6
2704.4,2477.4
5941.3,5987.5
1428.7,1522.4
523.4,458.5
3509.7,3666.1
2223.1,2404.2
1003.7,1709.7
1218.9,1409.1
2935.6,3044.6
987.6,1437.1
868.4,935.2
10001.4,10242.1
693.8,795.6
1159.7,1348.3
1617.5,1704.1
7229.4,7103.1
1597.3,1968.5
2345.1,2722.6
8048.6,4641.8
2817.7,3074.6
2846.6,3273.3
7897.7,7732.4
1543.7,1285.8
1064.4,1174.2
6336.5,6426.3
1767.2,2939.9
8662.5,5828.3
15659.2,15427.1
2553.1,2781.9
1899.3,1892
5226.2,5802.5
1012,1311.6
2283.6,2278.4
4896.8,4966.5
1167.3,1378.6
1653.1,1490.8
3887.7,3935.9
623.4,793.8
4197.6,4083.9
281.1,682
6268.4,6333
82419.1,77609.7
1673.1,1768
1038.5,1378.2
1108.4,1526.3
1552.3,1825.1
4638,5073.4
10112.7,9629.4
3335.1,3435
1812.1,2074.1
2794.5,2840.2
1704.7,1997.1
1360.1,1232.4
3878.4,3776.2
4512.9,4534.6
